Symbol,NASDAQ
NCR,NCR Corporation Common Stock
NEWR,New Relic Inc. Common Stock
NOC,Northrop Grumman Corporation Common Stock
NSC,Norfolk Southern Corporation Common Stock
NTAP,NetApp Inc. Common Stock
NVTA,Invitae Corporation Common Stock
NWPX,Northwest Pipe Company Common Stock
ODFL,Old Dominion Freight Line Inc. Common Stock
ORLY,O'Reilly Automotive Inc. Common Stock
PAG,Penske Automotive Group Inc. Common Stock
PBI,Pitney Bowes Inc. Common Stock
PFE,Pfizer Inc. Common Stock
PH,Parker-Hannifin Corporation Common Stock
PKG,Packaging Corporation of America Common Stock
PLXS,Plexus Corp. Common Stock
QCOM,QUALCOMM Incorporated Common Stock
RDFN,Redfin Corporation Common Stock
RHI,Robert Half International Inc. Common Stock
ROG,Rogers Corporation Common Stock
ROST,Ross Stores Inc. Common Stock
RWT,Redwood Trust Inc. Common Stock
RXDX,Prometheus Biosciences Inc. Common Stock
SGC,Superior Group of Companies Inc. Common Stock
SIEN,Sientra Inc. Common Stock
SP,SP Plus Corporation Common Stock
SPWR,SunPower Corporation Common Stock
SRT,StarTek Inc. Common Stock
TDC,Teradata Corporation Common Stock
TGT,Target Corporation Common Stock
TMO,Thermo Fisher Scientific Inc Common Stock
TRN,Trinity Industries Inc. Common Stock
TRUE,TrueCar Inc. Common Stock
TSLA,Tesla Inc. Common Stock
TSN,Tyson Foods Inc. Common Stock
TTMI,TTM Technologies Inc. Common Stock
TXN,Texas Instruments Incorporated Common Stock
UBER,Uber Technologies Inc. Common Stock
UEIC,Universal Electronics Inc. Common Stock
V,Visa Inc.
VC,Visteon Corporation Common Stock
VIAV,Viavi Solutions Inc. Common Stock
VSAT,ViaSat Inc. Common Stock
VSEC,VSE Corporation Common Stock
VVI,Viad Corp Common Stock
WFC,Wells Fargo & Company Common Stock
WWD,Woodward Inc. Common Stock
X,United States Steel Corporation Common Stock
XOMA,XOMA Corporation Common Stock
