id1,Symbol,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
33243,COOP,"[mr,cooper,beaverton]","[mr,cooper]",Mr Cooper - Beaverton,Mr. Cooper Group Inc. Common Stock,0.6666666666666666
34572,TLF,"[tandy,leather]","[tandy,leather,factory]",Tandy Leather Co.,Tandy Leather Factory Inc. Common Stock,0.6666666666666666
36549,T,"[at,t,midland]","[at,t]",AT&T-Midland,AT&T Inc.,0.6666666666666666
36829,IR,"[ingersoll,rand,tyler2]","[ingersoll,rand]",Ingersoll Rand - Tyler2,Ingersoll Rand Inc. Common Stock,0.6666666666666666
32013,LEG,"[leggett,platt]","[leggett,platt,incorporated]",Leggett & Platt Inc.,Leggett & Platt Incorporated Common Stock,0.6666666666666666
17474,T,"[at,t,conyers]","[at,t]",At&t-conyers,AT&T Inc.,0.6666666666666666
20059,SPR,"[spirit,aerosystems]","[spirit,aerosystems,holdings]","Spirit AeroSystems, Inc",Spirit Aerosystems Holdings Inc. Common Stock,0.6666666666666666
33704,TSN,"[tyson,prepared,foods]","[tyson,foods]","Tyson Prepared Foods, Inc.",Tyson Foods Inc. Common Stock,0.6666666666666666
188,T,"[at,t,alabama]","[at,t]",AT&T ALABAMA,AT&T Inc.,0.6666666666666666
17211,F,"[ford,motor,credit]","[ford,motor]",Ford Motor Credit Company,Ford Motor Company Common Stock,0.6666666666666666
17487,T,"[at,t,residential]","[at,t]",At&t Residential,AT&T Inc.,0.6666666666666666
35972,DVN,"[devon,energy,spring]","[devon,energy]",Devon Energy Corporation-Spring,Devon Energy Corporation Common Stock,0.6666666666666666
37042,AXP,"[american,express,amended]","[american,express]",American Express (Amended),American Express Company Common Stock,0.6666666666666666
5277,CAKE,"[cheesecake,factory]","[cheesecake,factory,incorporated]","The Cheesecake Factory, Inc.",Cheesecake Factory Incorporated (The) Common Stock,0.6666666666666666
41952,AWK,"[american,water]","[american,water,works]",AMERICAN WATER,American Water Works Company Inc. Common Stock,0.6666666666666666
18914,ALSN,"[allison,transmission]","[allison,transmission,holdings]","Allison Transmission, Inc.",Allison Transmission Holdings Inc. Common Stock,0.6666666666666666
41492,GSBD,"[goldman,sachs]","[goldman,sachs,bdc]",GOLDMAN SACHS,Goldman Sachs BDC Inc. Common Stock,0.6666666666666666
12771,FCX,"[freeport,mcmoran,sales]","[freeport,mcmoran]","Freeport-McMoRan Sales Co., Inc.*",Freeport-McMoRan Inc. Common Stock,0.6666666666666666
40087,GIC,"[global,industrial,services]","[global,industrial]",Global Industrial Services Inc.,Global Industrial Company Common Stock,0.6666666666666666
11890,WM,"[valley,waste,management]","[waste,management]",Valley Waste Management,Waste Management Inc. Common Stock,0.6666666666666666
16319,LMT,"[lockheed,martin,information]","[lockheed,martin]",Lockheed Martin Corp Information,Lockheed Martin Corporation Common Stock,0.6666666666666666
36840,CMA,"[comerica,incorporated,houston2]","[comerica,incorporated]",Comerica Incorporated - Houston2,Comerica Incorporated Common Stock,0.6666666666666666
24393,MPC,"[marathon,petroleum,lp]","[marathon,petroleum]",Marathon Petroleum Company LP,Marathon Petroleum Corporation Common Stock,0.6666666666666666
18838,AYI,"[acuity,brands,lighting]","[acuity,brands]","Acuity Brands Lighting, Inc.",Acuity Brands Inc.,0.6666666666666666
36033,WSM,"[williams,sonoma]","[williams,sonoma,de]","Williams Sonoma, Inc.",Williams-Sonoma Inc. Common Stock (DE),0.6666666666666666
6100,CRI,"[carter,s,retail]","[carter,s]",Carter's Retail Inc,Carter's Inc. Common Stock,0.6666666666666666
440,FRBA,"[first,american,bank]","[first,bank]",FIRST AMERICAN BANK,First Bank Common Stock,0.6666666666666666
29372,GSBD,"[goldman,sachs]","[goldman,sachs,bdc]","Goldman, Sachs & Co. LLC",Goldman Sachs BDC Inc. Common Stock,0.6666666666666666
44566,GDEN,"[golden,entertainment,acep]","[golden,entertainment]","Golden Entertainment Inc. / ACEP, LLC",Golden Entertainment Inc. Common Stock,0.6666666666666666
39969,FRBA,"[first,citizens,bank]","[first,bank]",First Citizens Bank,First Bank Common Stock,0.6666666666666666
16405,NRG,"[nrg,geon,energy]","[nrg,energy]","NRG / GeOn Energy, Inc.",NRG Energy Inc. Common Stock,0.6666666666666666
21156,MPX,"[arcosa,marine,products]","[marine,products]",Arcosa Marine Products,Marine Products Corporation Common Stock,0.6666666666666666
23275,BBY,"[best,buy,2019]","[best,buy]",Best Buy 2019,Best Buy Co. Inc. Common Stock,0.6666666666666666
16412,BNED,"[barnes,noble]","[barnes,noble,education]",Barnes & Noble,Barnes & Noble Education Inc Common Stock,0.6666666666666666
3663,DNB,"[dun,bradstreet]","[dun,bradstreet,holdings]",Dun & Bradstreet,Dun & Bradstreet Holdings Inc. Common Stock,0.6666666666666666
19453,GPK,"[graphic,packaging]","[graphic,packaging,holding]",Graphic Packaging,Graphic Packaging Holding Company,0.6666666666666666
6618,HON,"[honeywell,international,dba,honeywell]","[honeywell,international]",Honeywell International Inc. dba Honeywell,Honeywell International Inc. Common Stock,0.6666666666666666
35971,DVN,"[devon,energy,bridgeport]","[devon,energy]",Devon Energy Corporation-Bridgeport,Devon Energy Corporation Common Stock,0.6666666666666666
150,HPE,"[hewlett,packard]","[hewlett,packard,enterprise]",HEWLETT-PACKARD COMPANY,Hewlett Packard Enterprise Company Common Stock,0.6666666666666666
36461,USFD,"[us,foods]","[us,foods,holding]",US Foods,US Foods Holding Corp. Common Stock,0.6666666666666666
38342,LFLYW,"[leafly,holdings]","[leafly,holdings,warrant]",Leafly Holdings Inc,Leafly Holdings Inc. Warrant,0.6666666666666666
32667,SPR,"[spirit,aerosystems]","[spirit,aerosystems,holdings]",Spirit Aerosystems,Spirit Aerosystems Holdings Inc. Common Stock,0.6666666666666666
5821,ANF,"[abercrombie,fitch,hco]","[abercrombie,fitch]",Abercrombie & Fitch - HCo.,Abercrombie & Fitch Company Common Stock,0.6666666666666666
5862,ANF,"[abercrombie,fitch,hco]","[abercrombie,fitch]",Abercrombie & Fitch-HCo.,Abercrombie & Fitch Company Common Stock,0.6666666666666666
26018,CAH,"[cardinal,health,presource]","[cardinal,health]",Cardinal Health (Presource Group),Cardinal Health Inc. Common Stock,0.6666666666666666
39969,BFC,"[first,citizens,bank]","[bank,first]",First Citizens Bank,Bank First Corporation Common Stock,0.6666666666666666
11961,DIS,"[walt,disney,pictures]","[walt,disney]",Walt Disney Pictures,Walt Disney Company (The) Common Stock,0.6666666666666666
11549,TM,"[toyota,motor,credit]","[toyota,motor]","Toyota Motor Credit Corporation,",Toyota Motor Corporation Common Stock,0.6666666666666666
32966,CMS^B,"[cms,energy]","[cms,energy,preferred]",CMS Energy,CMS Energy Corporation Preferred Stock,0.6666666666666666
35358,KSS,"[kohl,s,dallas]","[kohl,s]",Kohl's-Dallas,Kohl's Corporation Common Stock,0.6666666666666666
886,SNDR,"[schneider,national,carriers]","[schneider,national]",SCHNEIDER NATIONAL CARRIERS,Schneider National Inc. Common Stock,0.6666666666666666
23835,M,"[macy,s,shoppes]","[macy,s]",Macy's Shoppes,Macy's Inc Common Stock,0.6666666666666666
37823,NOC,"[northrop,grumman,coporation]","[northrop,grumman]",Northrop Grumman Coporation,Northrop Grumman Corporation Common Stock,0.6666666666666666
42340,FYBR,"[frontier,communications]","[frontier,communications,parent]",Frontier Communications,Frontier Communications Parent Inc. Common Stock,0.6666666666666666
18471,ABM,"[abm,industries]","[abm,industries,incorporated]","ABM Industries, Inc",ABM Industries Incorporated Common Stock,0.6666666666666666
16236,UAL,"[united,airlines]","[united,airlines,holdings]",United Airlines,United Airlines Holdings Inc. Common Stock,0.6666666666666666
6080,CRI,"[carter,s,retail]","[carter,s]","Carter's Retail, Inc",Carter's Inc. Common Stock,0.6666666666666666
33975,AAL,"[american,airlines,hdq2]","[american,airlines]",American Airlines-HDQ2,American Airlines Group Inc. Common Stock,0.6666666666666666
37851,JELD,"[jeld,wen]","[jeld,wen,holding]","JELD-WEN, Inc.",JELD-WEN Holding Inc. Common Stock,0.6666666666666666
36659,AAL,"[american,airlines,houston2]","[american,airlines]",American Airlines - Houston2,American Airlines Group Inc. Common Stock,0.6666666666666666
23391,THS,"[treehouse,foods,2019]","[treehouse,foods]",TreeHouse Foods 2019,Treehouse Foods Inc. Common Stock,0.6666666666666666
37137,RIO,"[rio,tinto]","[rio,tinto,plc]",Rio Tinto,Rio Tinto Plc Common Stock,0.6666666666666666
36298,COF,"[capital,one]","[capital,one,financial]",Capital One,Capital One Financial Corporation Common Stock,0.6666666666666666
22667,TTSH,"[tile,shop]","[tile,shop,holdings]",The Tile Shop,Tile Shop Holdings Inc. Common Stock,0.6666666666666666
12522,CAKE,"[cheesecake,factory]","[cheesecake,factory,incorporated]",The Cheesecake Factory,Cheesecake Factory Incorporated (The) Common Stock,0.6666666666666666
20936,LEG,"[leggett,platt]","[leggett,platt,incorporated]","Leggett & Platt, Inc",Leggett & Platt Incorporated Common Stock,0.6666666666666666
11279,WDC,"[western,digital,technologies]","[western,digital]","Western Digital Technologies, Inc.",Western Digital Corporation Common Stock,0.6666666666666666
USA Holdings,NYT,"[new,york]","[new,york,times]",New York,New York Times Company (The) Common Stock,0.6666666666666666
5739,FOXF,"[fox,factory]","[fox,factory,holding]",Fox Factory Inc.,Fox Factory Holding Corp. Common Stock,0.6666666666666666
42675,UUU,"[universal,security]","[universal,security,instruments]",Universal Security Corp.,Universal Security Instruments Inc. Common Stock,0.6666666666666666
15075,AMT,"[american,tower]","[american,tower,reit]",American Tower Corporation,American Tower Corporation (REIT) Common Stock,0.6666666666666666
717,OC,"[owens,corning]","[owens,corning,new]",OWENS CORNING,Owens Corning Inc Common Stock New,0.6666666666666666
21414,SCI,"[international,limousine,service]","[service,international]","International Limousine Service, Inc.",Service Corporation International Common Stock,0.6666666666666666
41660,M,"[macy,s,logistics]","[macy,s]",MACY’S LOGISTICS,Macy's Inc Common Stock,0.6666666666666666
9996,SPB,"[spectrum,brands]","[spectrum,brands,holdings]","Spectrum Brands, Inc.",Spectrum Brands Holdings Inc. Common Stock,0.6666666666666666
26008,NOC,"[northrop,grumman,systems]","[northrop,grumman]",Northrop Grumman Systems Corporation,Northrop Grumman Corporation Common Stock,0.6666666666666666
39128,LCTX,"[cell,therapeutics]","[lineage,cell,therapeutics]","Cell Therapeutics, Inc",Lineage Cell Therapeutics Inc. Common Stock,0.6666666666666666
36658,AAL,"[american,airlines,austin]","[american,airlines]",American Airlines - Austin,American Airlines Group Inc. Common Stock,0.6666666666666666
31367,UAL,"[united,airlines]","[united,airlines,holdings]","United Airlines, Inc.",United Airlines Holdings Inc. Common Stock,0.6666666666666666
36027,HCSG,"[aramark,healthcare,services]","[healthcare,services]","Aramark Healthcare Services, LLC",Healthcare Services Group Inc. Common Stock,0.6666666666666666
20186,SEM,"[select,medical]","[select,medical,holdings]",Select Medical Corporation,Select Medical Holdings Corporation Common Stock,0.6666666666666666
16650,LOW,"[lowe,s]","[lowe,s,companies]",Lowe's,Lowe's Companies Inc. Common Stock,0.6666666666666666
28644,GE,"[general,electric,mds]","[general,electric]","General Electric MDS, LLC",General Electric Company Common Stock,0.6666666666666666
43558,ANF,"[abercrombie,and,fitch]","[abercrombie,fitch]",Abercrombie and Fitch Co,Abercrombie & Fitch Company Common Stock,0.6666666666666666
5571,PH,"[parker,hannifin,parker,aerospace]","[parker,hannifin]",Parker Hannifin - Parker Aerospace Group,Parker-Hannifin Corporation Common Stock,0.6666666666666666
24874,KO,"[coca,cola,enterprises]","[coca,cola]",Coca-Cola Enterprises Inc.,Coca-Cola Company (The) Common Stock,0.6666666666666666
18201,HL^B,"[hecla,mining]","[hecla,mining,preferred]",Hecla Mining,Hecla Mining Company Preferred Stock,0.6666666666666666
5636,DKS,"[dick,s,sporting,goods,store,1047]","[dick,s,sporting,goods]",Dick's Sporting Goods Store #1047,Dick's Sporting Goods Inc Common Stock,0.6666666666666666
22894,DGX,"[quest,diagnostics]","[quest,diagnostics,incorporated]","Quest Diagnostics, Inc",Quest Diagnostics Incorporated Common Stock,0.6666666666666666
22240,LUV,"[updated,southwest,airlines]","[southwest,airlines]",*UPDATED* Southwest Airlines,Southwest Airlines Company Common Stock,0.6666666666666666
19512,MCO,"[moody,s,analytics]","[moody,s]",Moody's Analytics,Moody's Corporation Common Stock,0.6666666666666666
10263,LPLA,"[lpl,financial]","[lpl,financial,holdings]",LPL Financial LLC,LPL Financial Holdings Inc. Common Stock,0.6666666666666666
1990,FXLV,"[f45,training]","[f45,training,holdings]","F45 Training, Inc",F45 Training Holdings Inc. Common Stock,0.6666666666666666
24929,GSBD,"[goldman,sachs]","[goldman,sachs,bdc]","Goldman, Sachs & Co.",Goldman Sachs BDC Inc. Common Stock,0.6666666666666666
35504,ARW,"[arrow,electronics,dallas]","[arrow,electronics]","Arrow Electronics, Inc.-Dallas",Arrow Electronics Inc. Common Stock,0.6666666666666666
36934,M,"[macy,s,austin]","[macy,s]",Macy's - Austin,Macy's Inc Common Stock,0.6666666666666666
34178,SPR,"[spirit,aerosystems]","[spirit,aerosystems,holdings]",Spirit AeroSystems Inc.,Spirit Aerosystems Holdings Inc. Common Stock,0.6666666666666666
40069,OC,"[owens,corning]","[owens,corning,new]",Owens Corning,Owens Corning Inc Common Stock New,0.6666666666666666
24553,BK,"[bank,of,new,york,bny]","[bank,of,new,york,mellon]",The Bank of New York (BNY),The Bank of New York Mellon Corporation Common Stock,0.6666666666666666
24355,BFC,"[first,national,bank]","[bank,first]",First National Bank,Bank First Corporation Common Stock,0.6666666666666666
36188,SEM,"[select,medical]","[select,medical,holdings]",Select Medical Corp.,Select Medical Holdings Corporation Common Stock,0.6666666666666666
36610,M,"[macy,s,houston2]","[macy,s]",Macy's -Houston2,Macy's Inc Common Stock,0.6666666666666666
41853,CAH,"[cardinal,health,200]","[cardinal,health]",CARDINAL HEALTH 200,Cardinal Health Inc. Common Stock,0.6666666666666666
19274,BFC,"[first,merchants,bank]","[bank,first]",First Merchants Bank,Bank First Corporation Common Stock,0.6666666666666666
19279,FYBR,"[frontier,communications]","[frontier,communications,parent]",Frontier Communications Corporation,Frontier Communications Parent Inc. Common Stock,0.6666666666666666
3420,DIS,"[walt,disney,travel]","[walt,disney]","Walt Disney Travel Co., Inc.",Walt Disney Company (The) Common Stock,0.6666666666666666
27433,FCCO,"[community,first,holdings]","[first,community]","Community First Holdings, Inc.",First Community Corporation Common Stock,0.6666666666666666
15095,SCI,"[aircraft,service,international]","[service,international]","Aircraft Service International, Inc.",Service Corporation International Common Stock,0.6666666666666666
36472,DDS,"[dillard,s,plano]","[dillard,s]","Dillard's, Inc.-Plano",Dillard's Inc. Common Stock,0.6666666666666666
38220,LW,"[lamb,weston]","[lamb,weston,holdings]","Lamb Weston, Inc",Lamb Weston Holdings Inc. Common Stock,0.6666666666666666
36478,AMAT,"[applied,materials,austin4]","[applied,materials]","Applied Materials, Inc. - Austin4",Applied Materials Inc. Common Stock,0.6666666666666666
31538,DIN,"[global,brands]","[dine,brands,global]",Global Brands Group,Dine Brands Global Inc. Common Stock,0.6666666666666666
5686,BOOT,"[boot,barn]","[boot,barn,holdings]","Boot Barn, Inc.",Boot Barn Holdings Inc. Common Stock,0.6666666666666666
42067,TSN,"[keystone,foods,tyson,foods]","[tyson,foods]",Keystone Foods/Tyson Foods,Tyson Foods Inc. Common Stock,0.6666666666666666
10181,WDC,"[western,digital,technology]","[western,digital]","Western Digital Technology, Inc.",Western Digital Corporation Common Stock,0.6666666666666666
19066,LEE,"[lee,enterprises]","[lee,enterprises,incorporated]",Lee Enterprises,Lee Enterprises Incorporated Common Stock,0.6666666666666666
12232,CAR,"[avis,budget,denver]","[avis,budget]",Avis Budget Group (Denver),Avis Budget Group Inc. Common Stock,0.6666666666666666
37830,AEO,"[american,eagle]","[american,eagle,outfitters]",American Eagle,American Eagle Outfitters Inc. Common Stock,0.6666666666666666
17182,ACCO,"[acco,brands,usa]","[acco,brands]",Acco Brands Usa Llc,Acco Brands Corporation Common Stock,0.6666666666666666
29439,DB,"[deutsche,bank]","[deutsche,bank,ag]",Deutsche Bank,Deutsche Bank AG Common Stock,0.6666666666666666
39939,ACCO,"[acco,brands,usa]","[acco,brands]","ACCO Brands USA, LLC",Acco Brands Corporation Common Stock,0.6666666666666666
36079,T,"[at,t,houston]","[at,t]",AT&T-Houston,AT&T Inc.,0.6666666666666666
24355,FXNC,"[first,national,bank]","[first,national]",First National Bank,First National Corporation Common Stock,0.6666666666666666
8508,CSCO,"[cisco,systems]","[cisco,systems,de]","Cisco Systems, Inc.",Cisco Systems Inc. Common Stock (DE),0.6666666666666666
5635,DKS,"[dick,s,sporting,goods,store,1070]","[dick,s,sporting,goods]",Dick's Sporting Goods Store #1070,Dick's Sporting Goods Inc Common Stock,0.6666666666666666
16659,TMUS,"[t,mobile]","[t,mobile,us]",T-mobile,T-Mobile US Inc. Common Stock,0.6666666666666666
39192,WFC,"[wells,fargo,bank]","[wells,fargo]",Wells Fargo Bank,Wells Fargo & Company Common Stock,0.6666666666666666
38179,GEHC,"[ge,healthcare]","[ge,healthcare,technologies]",GE Healthcare,GE HealthCare Technologies Inc. Common Stock,0.6666666666666666
20294,TMUS,"[t,mobile]","[t,mobile,us]",T-Mobile,T-Mobile US Inc. Common Stock,0.6666666666666666
5247,CAKE,"[cheesecake,factory]","[cheesecake,factory,incorporated]",The Cheesecake Factory Inc.,Cheesecake Factory Incorporated (The) Common Stock,0.6666666666666666
36983,BDTX,"[black,diamond]","[black,diamond,therapeutics]",Black Diamond,Black Diamond Therapeutics Inc. Common Stock,0.6666666666666666
41952,AWR,"[american,water]","[american,states,water]",AMERICAN WATER,American States Water Company Common Stock,0.6666666666666666
21971,FRBA,"[first,national,bank]","[first,bank]",First National Bank,First Bank Common Stock,0.6666666666666666
33790,CPS,"[cooper,standard]","[cooper,standard,holdings]",Cooper Standard,Cooper-Standard Holdings Inc. Common Stock,0.6666666666666666
33974,AAL,"[american,airlines,hdq]","[american,airlines]",American Airlines-HDQ,American Airlines Group Inc. Common Stock,0.6666666666666666
18206,M,"[macy,s,downtown]","[macy,s]",Macy's Downtown,Macy's Inc Common Stock,0.6666666666666666
17390,GM,"[general,motors,acceptance]","[general,motors]",General Motors Acceptance Corporation,General Motors Company Common Stock,0.6666666666666666
31969,SNDR,"[schneider,national,carriers]","[schneider,national]","Schneider National Carriers, Inc.",Schneider National Inc. Common Stock,0.6666666666666666
15364,AVNS,"[avanos,medical,neomed]","[avanos,medical]","Avanos Medical, Inc. (NeoMed, Inc.)",Avanos Medical Inc. Common Stock,0.6666666666666666
41248,EYE,"[national,vision]","[national,vision,holdings]","National Vision, Inc.",National Vision Holdings Inc. Common Stock,0.6666666666666666
32028,DLTR,"[dollar,tree,family,dollar]","[dollar,tree]","Dollar Tree, Inc. (Family Dollar)",Dollar Tree Inc. Common Stock,0.6666666666666666
9083,KHC,"[kraft,heinz,foods]","[kraft,heinz]",Kraft Heinz Foods Company,The Kraft Heinz Company Common Stock,0.6666666666666666
25170,M,"[macy,s,merchandising]","[macy,s]",Macy's Merchandising Group,Macy's Inc Common Stock,0.6666666666666666
15266,COKE,"[coca,cola]","[coca,cola,consolidated]",The Coca-Cola Company,Coca-Cola Consolidated Inc. Common Stock,0.6666666666666666
41726,SEM,"[select,medical]","[select,medical,holdings]",SELECT MEDICAL,Select Medical Holdings Corporation Common Stock,0.6666666666666666
32098,DRS,"[drs,ges,leonardo,drs]","[leonardo,drs]",DRS GES (LEONARDO DRS),Leonardo DRS Inc. Common Stock,0.6666666666666666
8437,GIS,"[general,mills,operations]","[general,mills]","General Mills Operations, LLC",General Mills Inc. Common Stock,0.6666666666666666
12188,LUV,"[southwest,airlines,update]","[southwest,airlines]",Southwest Airlines Update,Southwest Airlines Company Common Stock,0.6666666666666666
41846,M,"[macy,s,strawbridge,s]","[macy,s]",MACY’S/STRAWBRIDGE’S,Macy's Inc Common Stock,0.6666666666666666
35761,M,"[macy,s,pasadena]","[macy,s]",Macy's-Pasadena,Macy's Inc Common Stock,0.6666666666666666
43962,TMO,"[thermo,fisher]","[thermo,fisher,scientific]",Thermo Fisher,Thermo Fisher Scientific Inc Common Stock,0.6666666666666666
12770,CAKE,"[cheesecake,factory]","[cheesecake,factory,incorporated]",Cheesecake Factory*,Cheesecake Factory Incorporated (The) Common Stock,0.6666666666666666
12542,SNDR,"[schneider,national,carriers]","[schneider,national]",Schneider National Carriers Inc.,Schneider National Inc. Common Stock,0.6666666666666666
1510,VMC,"[vulcan,materials]","[vulcan,materials,holding]",Vulcan Materials Company,Vulcan Materials Company (Holding Company) Common Stock,0.6666666666666666
25206,HSII,"[heidrick,struggles]","[heidrick,struggles,international]",Heidrick & Struggles Inc.,Heidrick & Struggles International Inc. Common Stock,0.6666666666666666
33979,AAL,"[american,airlines,sro]","[american,airlines]",American Airlines-SRO,American Airlines Group Inc. Common Stock,0.6666666666666666
15270,DGX,"[quest,diagnostics]","[quest,diagnostics,incorporated]",Quest Diagnostics Inc,Quest Diagnostics Incorporated Common Stock,0.6666666666666666
31961,DBD,"[diebold,nixdorf]","[diebold,nixdorf,incorporated]",Diebold Nixdorf Inc.,Diebold Nixdorf Incorporated Common Stock,0.6666666666666666
10909,VWE,"[vintage,estates]","[vintage,wine,estates]",Vintage Estates,Vintage Wine Estates Inc. Common Stock,0.6666666666666666
25325,BK,"[bank,of,new,york,mellon,distribution,services]","[bank,of,new,york,mellon]",The Bank of New York Mellon - Distribution Services,The Bank of New York Mellon Corporation Common Stock,0.7142857142857143
25278,BK,"[bank,of,new,york,mellon,cdo,unit]","[bank,of,new,york,mellon]",The Bank of New York Mellon (CDO Unit),The Bank of New York Mellon Corporation Common Stock,0.7142857142857143
29667,MTB,"[m,t,bank,nyc]","[m,t,bank]",M&T Bank (NYC),M&T Bank Corporation Common Stock,0.75
36537,BAC,"[bank,of,america,richardson]","[bank,of,america]",Bank of America-Richardson,Bank of America Corporation Common Stock,0.75
36843,PPC,"[pilgrim,s,pride,dallas3]","[pilgrim,s,pride]",Pilgrim's Pride - Dallas3,Pilgrim's Pride Corporation Common Stock,0.75
36333,BAC,"[bank,of,america,infomart]","[bank,of,america]",Bank of America - InfoMart,Bank of America Corporation Common Stock,0.75
10352,PCG,"[pacific,gas,and,electric]","[pacific,gas,electric]",Pacific Gas and Electric Company,Pacific Gas & Electric Co. Common Stock,0.75
20077,JLL,"[jones,lang,lasalle]","[jones,lang,lasalle,incorporated]",Jones Lang LaSalle,Jones Lang LaSalle Incorporated Common Stock,0.75
31788,LEG,"[leggett,platt,incorporated,covid19]","[leggett,platt,incorporated]",Leggett & Platt Incorporated COVID19,Leggett & Platt Incorporated Common Stock,0.75
23510,PLCE,"[children,s,place,2018]","[children,s,place]",The Children's Place 2018,Children's Place Inc. (The) Common Stock,0.75
32979,SAIC,"[science,applications,international,coorporatin]","[science,applications,international]",Science Applications International Coorporatin,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Common Stock,0.75
8825,CRL,"[charles,river,laboratories]","[charles,river,laboratories,international]","Charles River Laboratories, Inc.",Charles River Laboratories International Inc. Common Stock,0.75
12026,DFS,"[discover,financial,services,personal]","[discover,financial,services]",Discover Financial Services-Personal,Discover Financial Services Common Stock,0.75
22284,PLAY,"[dave,buster,s]","[dave,buster,s,entertainment]",Dave & Buster's,Dave & Buster's Entertainment Inc. Common Stock,0.75
17232,HRB,"[h,r,block,mortgage]","[h,r,block]",H&r Block Mortgage Corporation,H&R Block Inc. Common Stock,0.75
18260,BBBY,"[bed,bath,and,beyond]","[bed,bath,beyond]",Bed Bath and Beyond,Bed Bath & Beyond Inc. Common Stock,0.75
17779,BAC,"[bank,of,america,specialty]","[bank,of,america]",Bank Of America Specialty Group,Bank of America Corporation Common Stock,0.75
3305,LYV,"[live,nation,entertainment,lnc]","[live,nation,entertainment]","Live Nation Entertainment, lnc.",Live Nation Entertainment Inc. Common Stock,0.75
41482,PLCE,"[children,s,place,services]","[children,s,place]",THE CHILDREN'S PLACE SERVICES CO. LLC,Children's Place Inc. (The) Common Stock,0.75
36844,PPC,"[pilgrim,s,pride,dallas4]","[pilgrim,s,pride]",Pilgrim's Pride - Dallas4,Pilgrim's Pride Corporation Common Stock,0.75
26315,TMO,"[thermo,fisher,scientific,metavac]","[thermo,fisher,scientific]",Thermo Fisher Scientific Inc./Metavac,Thermo Fisher Scientific Inc Common Stock,0.75
7369,CAKE,"[cheesecake,factory,bakery,incorporated]","[cheesecake,factory,incorporated]",The Cheesecake Factory Bakery Incorporated,Cheesecake Factory Incorporated (The) Common Stock,0.75
210,SAIC,"[science,applications,international,saic]","[science,applications,international]",SCIENCE APPLICATIONS INTERNATIONAL CORP. (SAIC),SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Common Stock,0.75
17826,ADM,"[adm,archer,daniels,midland]","[archer,daniels,midland]",Adm/archer Daniels Midland Company,Archer-Daniels-Midland Company Common Stock,0.75
36536,BAC,"[bank,of,america,dallas4]","[bank,of,america]",Bank Of America - Dallas4,Bank of America Corporation Common Stock,0.75
18345,JJSF,"[j,j,snack,foods,sales]","[j,j,snack,foods]",J & J Snack Foods Sales Corp.,J & J Snack Foods Corp. Common Stock,0.75
23337,DAL,"[delta,air,lines,2019]","[delta,air,lines]",Delta Air Lines 2019,Delta Air Lines Inc. Common Stock,0.75
42440,BBBY,"[bed,bath,beyond,2022]","[bed,bath,beyond]",Bed Bath & Beyond 2022,Bed Bath & Beyond Inc. Common Stock,0.75
394,AWI,"[armstrong,world,industries,3]","[armstrong,world,industries]","ARMSTRONG WORLD INDUSTRIES, INC. (3)",Armstrong World Industries Inc Common Stock,0.75
17642,BSET,"[bassett,furniture,industries]","[bassett,furniture,industries,incorporated]","Bassett Furniture Industries, Inc.",Bassett Furniture Industries Incorporated Common Stock,0.75
36398,BAC,"[bank,of,america,plano]","[bank,of,america]",Bank of America - Plano,Bank of America Corporation Common Stock,0.75
21929,TROW,"[t,rowe,price,associates]","[t,rowe,price]","T. Rowe Price Associates, Inc.",T. Rowe Price Group Inc. Common Stock,0.75
32876,SPWH,"[sportsman,s,warehouse]","[sportsman,s,warehouse,holdings]",Sportsman's Warehouse,Sportsman's Warehouse Holdings Inc. Common Stock,0.75
26429,AEO,"[77kids,american,eagle,outfitters]","[american,eagle,outfitters]",77kids/American Eagle Outfitters,American Eagle Outfitters Inc. Common Stock,0.75
44582,MGM,"[mgm,resorts,international,marketing]","[mgm,resorts,international]","MGM Resorts International Marketing, Inc.",MGM Resorts International Common Stock,0.75
9351,SJM,"[j,m,smucker]","[j,m,smucker,new]",The J.M. Smucker Company,J.M. Smucker Company (The) New Common Stock,0.75
21952,CRL,"[charles,river,laboratories]","[charles,river,laboratories,international]",Charles River Laboratories,Charles River Laboratories International Inc. Common Stock,0.75
2177,LLY,"[dermira,eli,lilly,and]","[eli,lilly,and]","Dermira, Inc. - Eli Lilly and Company",Eli Lilly and Company Common Stock,0.75
26163,AXL,"[american,axle,manufacturing]","[american,axle,manufacturing,holdings]","American Axle & Manufacturing, Inc.",American Axle & Manufacturing Holdings Inc. Common Stock,0.75
3339,LYV,"[live,nation,entertainment,rsquo]","[live,nation,entertainment]","Live Nation Entertainment, Inc.&rsquo;",Live Nation Entertainment Inc. Common Stock,0.75
40191,DFIN,"[donnelley,financial,solutions,dfin]","[donnelley,financial,solutions]",Donnelley Financial Solutions (DFIN),Donnelley Financial Solutions Inc. Common Stock,0.75
8551,FIX,"[california,comfort,systems,usa]","[comfort,systems,usa]","California Comfort Systems USA, Inc.",Comfort Systems USA Inc. Common Stock,0.75
31090,IBM,"[international,business,machines,ibm]","[international,business,machines]",International Business Machines (IBM),International Business Machines Corporation Common Stock,0.75
